,1,2,3,4,5,0
d4,f5,Nf3,Nf6,g3,g6,6
e4,e5,Nf3,Nc6,d4,d6,6
e4,e5,Nf3,Nf6,Nc3,Bb4,6
d4,Nf6,c4,e6,Nf3,a6,6
d4,d5,Bf4,Nf6,Nf3,Bf5,6
d4,Nf6,Bf4,g6,Nf3,Bg7,6
e4,c5,b3,Nc6,Bb2,d6,6
c4,g6,g3,Bg7,Bg2,e5,6
Nf3,g6,d4,Bg7,e4,d6,6
c4,e6,Nc3,d5,d4,Bb4,6
d4,f5,e4,fxe4,Nc3,Nf6,6
e4,c5,Nc3,d6,g3,g6,6
Nf3,d5,b3,Nf6,Bb2,e6,6
c4,e6,Nc3,d5,d4,a6,6
d4,c5,d5,e5,c4,d6,6
e4,e6,d4,d5,Nd2,Nc6,6
d4,Nf6,Nf3,d5,g3,e6,6
d4,d5,Nf3,Nf6,g3,c6,6
e4,c5,Nf3,Nf6,Nc3,d5,6
d4,d5,Nf3,Nf6,e3,Bf5,6
Nf3,d5,e3,Nf6,c4,c6,6
d4,e6,c4,f5,g3,Nf6,6
d4,Nf6,Nf3,g6,c4,c5,6
e4,d6,d4,Nf6,Bd3,e5,6
Nf3,d5,g3,Bg4,Bg2,e6,6
d4,g6,c4,Bg7,e4,d6,6
d4,d5,Nf3,Nf6,Bf4,Bf5,6
c4,e6,g3,d5,Bg2,d4,6
e4,d5,exd5,Nf6,d4,Bg4,6
d4,Nf6,Nf3,e6,c4,c5,6
Nf3,d5,g3,Nf6,Bg2,Bf5,6
d4,Nf6,c4,c5,Nf3,cxd4,6
e4,c5,Nf3,e6,c4,a6,6
d4,d5,c4,dxc4,e4,Nf6,6
d4,Nf6,c4,c6,Nc3,d5,6
f4,d5,Nf3,c5,g3,Nc6,6
e4,e6,d3,c5,Nf3,Nc6,6
e4,c5,Nc3,e6,f4,d5,6
Nf3,d5,g3,c6,Bg2,Bf5,6
d4,Nf6,Bg5,d5,Nd2,c5,5
c4,e6,Nf3,d5,b3,Nf6,5
d4,d5,c4,e6,cxd5,exd5,5
d4,d5,c4,e6,Nf3,a6,5
d4,Nf6,c4,e6,Nf3,h6,5
d4,d6,Nf3,Nf6,c4,Nbd7,5
e4,c5,Nc3,d6,g3,Nf6,5
Nf3,c5,c4,Nf6,Nc3,Nc6,5
d4,d5,c4,c6,Nc3,dxc4,5
Nf3,Nf6,c4,e6,g3,a6,5
e4,g6,d4,Bg7,c3,d6,5
d4,Nf6,c4,g6,f3,d5,5
e4,c5,Nc3,e6,f4,Nc6,5
Nf3,g6,c4,Bg7,Nc3,d6,5
d4,Nf6,Bg5,d5,e3,g6,5
e4,e5,Nc3,Nf6,Nf3,Nc6,5
e4,e5,Nf3,Nf6,Nxe5,Nc6,5
d4,Nf6,Nf3,e6,Bg5,h6,5
e4,c5,Nc3,g6,f4,Bg7,5
c4,c6,Nf3,d5,d4,Nf6,5
d4,d6,c4,e5,Nf3,e4,5
e4,c5,Nf3,Nc6,d3,g6,5
e4,c5,Nc3,e6,Nge2,Nc6,5
e4,e5,Nc3,Nf6,g3,d5,5
Nf3,Nf6,d4,g6,g3,Bg7,5
e4,c5,Nc3,e6,g3,d5,5
c4,e5,Nc3,Bb4,Nd5,a5,5
d4,d5,c4,dxc4,e4,b5,5
Nf3,c5,c4,g6,d4,cxd4,5
d4,Nf6,Nf3,e6,e3,d5,5
d4,d5,c4,e5,dxe5,d4,5
e4,c6,d4,d5,f3,Qb6,5
f4,d5,Nf3,g6,g3,Bg7,5
d4,d5,e4,dxe4,Nc3,Nf6,5
e4,c5,d4,cxd4,c3,d5,5
e4,c6,Ne2,d5,e5,c5,5
Nf3,Nf6,c4,c6,Nc3,d5,5
d4,d5,Bf4,Nf6,Nf3,e6,5
e4,c5,Nf3,d6,Bc4,Nc6,5
d4,Nf6,c4,d6,Nc3,g6,5
Nf3,Nf6,c4,c5,Nc3,e6,5
e4,e5,d4,exd4,c3,dxc3,5
e4,c5,Nf3,e6,b3,a6,5
c4,e5,Nc3,d6,g3,f5,5
e4,c6,c4,d5,exd5,cxd5,5
e4,c6,Nc3,d5,d4,dxe4,5
e4,e6,Qe2,c5,Nf3,Nc6,5
e4,c6,c4,d5,cxd5,cxd5,5
d4,Nf6,Nf3,g6,Nbd2,c5,5
c4,c5,Nc3,Nc6,g3,g6,5
d4,Nf6,c4,b6,Nc3,Bb7,5
e4,c5,Nc3,Nc6,Nf3,g6,5
e4,c5,Nf3,Nc6,Bc4,e6,5
d4,Nf6,Nf3,d5,Bf4,Bf5,5
e4,c5,Nc3,Nc6,Nf3,e5,5
d4,Nf6,c4,d6,Nf3,g6,5
d4,d5,Nf3,e6,Bf4,Bd6,5
d4,Nf6,Nf3,b6,g3,Bb7,5
c4,e5,Nc3,Nc6,Nf3,g6,5
c4,g6,g3,Bg7,Bg2,c5,5
d4,d6,e4,g6,Nf3,Bg7,5
e4,d6,Nf3,Nf6,Nc3,g6,5
e4,c5,Nc3,d6,Nf3,Nf6,5
e4,e5,f4,exf4,Nf3,g5,5
e4,d5,exd5,Nf6,Nf3,Nxd5,5
e4,c5,Nf3,Nc6,Bb5,a6,5
c4,Nf6,Nc3,e6,Nf3,d5,5
e4,c5,Nc3,d6,Bb5+,Bd7,5
c4,e5,Nc3,Nc6,Nf3,f5,5
e4,c5,Nf3,a6,c3,d5,5
e4,c5,Nf3,d6,Bc4,Nf6,5
d4,e6,c4,b6,e4,Bb7,5
c4,e5,Nc3,Nc6,g3,g6,5
d4,d5,Nf3,e6,c4,c6,5
d4,Nf6,c4,g6,Nc3,c5,4
d4,Nf6,c4,b6,Nf3,Bb7,4
b3,e5,Bb2,Nc6,c4,Nf6,4
d4,Nf6,c4,b6,f3,Nc6,4
d4,e6,c4,d5,Nf3,Nf6,4
d4,e6,c4,Bb4+,Nc3,c5,4
d4,e6,c4,d5,Nc3,Nf6,4
c4,g6,Nc3,Bg7,d4,d6,4
d4,g6,e4,Bg7,Nf3,c6,4
d4,Nf6,Nf3,g6,b3,Bg7,4
d4,e6,c4,Nf6,Nf3,d5,4
d4,Nf6,c4,a6,Nc3,c5,4
b3,e5,Bb2,Nc6,e3,g6,4
e4,c5,Nf3,Nc6,Bc4,g6,4
d4,f5,Nc3,Nf6,Bg5,d5,4
Nf3,Nf6,d4,g6,c4,Bg7,4
d4,d6,c4,e5,d5,f5,4
d4,f5,c4,Nf6,Nf3,e6,4
e4,d5,exd5,Qxd5,Nf3,Bg4,4
e4,e5,Bc4,Nf6,d4,exd4,4
Nf3,Nf6,c4,e6,g3,b6,4
e4,c5,c3,Nc6,d4,cxd4,4
d4,f5,g3,Nf6,Bg2,e6,4
c4,Nf6,Nc3,e6,d4,d5,4
Nf3,Nf6,c4,c6,d4,d5,4
e4,e5,Nc3,Nf6,Bc4,Nxe4,4
e4,c5,Nf3,g6,Bc4,Bg7,4
d4,Nf6,c4,d6,Nc3,e5,4
d4,f5,c4,Nf6,Nc3,d6,4
d4,f5,Nf3,Nf6,g3,e6,4
c4,c5,Nf3,Nc6,Nc3,e5,4
d4,f5,c4,Nf6,Nf3,g6,4
d4,e6,Nf3,Nf6,c4,Bb4+,4
d4,e6,Nf3,Nf6,c4,b6,4
d4,Nf6,c4,c5,d5,d6,4
e4,c5,b3,g6,Bb2,Nf6,4
d4,d5,Nf3,Bf5,c4,e6,4
Nf3,Nf6,g3,c5,c4,Nc6,4
Nf3,d5,c4,c6,e3,Nf6,4
Nf3,d5,c4,d4,g3,Nc6,4
e4,b6,d4,Bb7,Nc3,e6,4
Nf3,d5,c4,d4,e3,Nc6,4
c4,e5,Nc3,Nf6,g3,Bb4,4
e4,c6,d3,d5,Nd2,g6,4
d4,d5,Nf3,e6,Bf4,Nf6,4
d4,d5,Bf4,Nf6,Nc3,c5,4
e4,e5,Nf3,d6,Nc3,Nc6,4
c4,e6,Nf3,d5,d4,Nf6,4
c4,e6,Nc3,d5,d4,Be7,4
Nf3,e6,g3,b5,Bg2,Bb7,4
c4,e5,Nc3,Bb4,g3,Bxc3,4
Nf3,d5,b3,Bf5,Bb2,e6,4
e4,Nc6,Nf3,d6,d4,Bg4,4
d4,c5,d5,d6,e4,Nf6,4
e4,e5,Nf3,Nf6,d3,Nc6,4
e4,e5,d4,exd4,Qxd4,Nc6,4
Nf3,d5,c4,e6,g3,dxc4,4
e4,c5,Nc3,Nc6,Nge2,e5,4
e4,e6,b3,d5,Bb2,dxe4,4
c4,e5,g3,Nc6,Bg2,g6,4
c4,e5,g3,Nf6,Bg2,Bc5,4
d4,Nf6,Nf3,c5,d5,e6,4
e4,e6,Nf3,d5,Nc3,Nf6,4
Nf3,d5,g3,Nc6,Bg2,e5,4
d4,d5,Nc3,Nf6,Bf4,g6,4
Nf3,d5,g3,Nd7,Bg2,e5,4
Nf3,d5,g3,Nd7,c4,dxc4,4
Nf3,d5,g3,Nd7,d4,Ngf6,4
Nf3,d5,d4,Nf6,c4,dxc4,4
d4,d5,Nc3,Nf6,Bf4,a6,4
d4,d5,Nf3,Nf6,Bf4,c6,4
d4,d5,Nf3,Nf6,Bf4,g6,4
c4,e5,g3,c6,d4,e4,4
Nf3,d5,g3,b6,Bg2,Bb7,4
c4,e6,Nf3,d5,b3,d4,4
d4,d5,Bf4,Nf6,Nc3,e6,4
e4,g6,d4,Bg7,Be3,d6,4
Nf3,c5,c4,g6,Nc3,Bg7,4
d4,Nf6,c4,g6,g3,c5,4
Nf3,Nf6,g3,g6,c4,Bg7,4
d4,Nf6,Bg5,e6,e4,c5,4
c4,e6,d4,d5,Nc3,Nf6,4
b3,Nf6,Bb2,g6,Nf3,Bg7,4
c4,c6,d4,d5,Nf3,Nf6,4
c4,e6,Nf3,d5,g3,dxc4,4
e4,c5,Nf3,d6,Bc4,e6,4
d4,Nf6,Bf4,d5,e3,Bg4,4
d4,c5,d5,Nf6,Nc3,d6,4
Nf3,g6,d4,Bg7,c4,d6,4
e4,g6,d4,Bg7,Nc3,d5,4
Nf3,c5,c4,g6,d4,Bg7,4
d4,Nf6,Bg5,c5,Bxf6,gxf6,3
d4,Nf6,Bf4,c5,e3,Qb6,3
d4,Nf6,Bf4,c5,dxc5,Qa5+,3
d4,Nf6,Nf3,e6,c4,a6,3
c4,c6,Nc3,d5,d4,Nf6,3
e4,c5,c3,e6,d4,d5,3
e4,c5,Nf3,e6,g3,d5,3
d4,Nf6,Bf4,d6,Nf3,g6,3
c4,e6,g3,Nf6,Bg2,d5,3
